,0,1,2,3,4,5,6,7,8,9,10,11,12,y
115,42,60,24,72,97,36,44,78,20,80,2,27,4,0.5838821862639888
116,42,60,24,72,97,36,30,78,20,80,59,27,4,0.7540251596570747
117,42,60,24,72,97,36,44,78,66,80,59,27,4,0.8314370359341555
118,42,60,42,72,97,37,30,78,20,80,59,27,78,0.7141213345515391
119,42,16,24,72,33,36,30,78,20,80,59,65,78,0.299832552893956
120,42,16,24,49,33,36,44,78,66,21,59,27,78,0.6195182689470449
121,42,60,24,49,33,36,44,78,66,80,59,27,78,0.37696964511750203
122,42,60,24,49,97,37,44,78,20,80,59,27,78,0.33626722779448937
123,42,60,24,72,33,36,30,78,20,21,59,27,78,0.24576875196296893
124,42,60,24,72,97,37,30,78,20,80,59,27,4,0.4595852473816966
125,42,60,24,49,97,36,30,78,66,80,59,27,4,0.5490532819930454
126,42,16,24,72,97,37,44,78,20,21,59,27,78,0.7687604655715548
127,42,60,24,72,97,37,30,78,66,80,59,65,4,0.7054484563205925
128,42,60,24,49,97,36,30,78,20,80,59,65,4,0.5008114721890411
129,42,60,24,72,97,37,30,78,66,21,59,27,78,0.5990210813845251
130,42,60,24,49,33,37,44,78,20,80,2,27,78,0.5741273455673944
131,42,60,24,49,97,37,44,78,20,21,59,65,4,0.906934008671907
132,42,60,24,49,33,36,30,78,20,80,2,65,78,0.78812416806373
133,42,60,24,49,97,36,30,78,66,80,59,27,78,0.8506204113487229
134,42,60,24,72,33,36,30,78,20,80,59,27,78,0.7000729894505069
135,42,16,24,49,97,37,44,78,20,80,59,65,78,0.3172813532060222
136,42,60,42,49,33,36,44,78,20,21,59,27,78,0.6268773343504289
137,42,16,24,72,33,36,30,42,66,80,59,27,78,0.427607230214717
138,42,60,24,49,33,37,30,78,20,21,59,27,78,0.5855738269952596
139,23,60,42,72,33,36,44,78,66,80,59,65,4,0.5442960802628287
140,42,60,24,49,97,37,44,78,66,80,59,27,78,0.6751019704059411
141,42,60,24,72,33,37,44,42,66,80,59,27,78,0.57464256549787
142,42,60,24,72,33,37,44,78,20,80,2,27,4,0.7324717702516452
143,42,16,42,72,33,36,44,78,66,80,59,27,4,0.34621956931718395
144,42,60,24,72,97,37,30,78,20,80,2,27,78,0.7909922289161859
145,42,60,24,49,97,37,44,78,20,21,2,27,4,0.795345841440346
146,42,60,24,49,33,36,30,78,66,80,2,27,4,0.8214675199833587
147,42,60,24,49,97,37,44,78,66,21,59,27,4,0.6686445410702075
148,42,60,24,49,97,37,30,42,20,21,59,65,4,0.5806191230797225
149,42,60,24,72,97,36,30,42,66,21,59,65,78,0.6341505303317418
