,0,1,2,3,4,5,6,7,8,9,10,11,12
130,42,60,42,49,97,37,44,42,66,80,2,27,78
131,23,60,42,49,97,37,44,42,66,80,2,27,78
132,42,16,24,72,33,37,44,42,66,80,2,27,78
133,23,16,24,72,33,37,44,42,66,80,2,27,78
134,42,60,24,72,33,37,44,42,66,80,2,27,78
135,23,60,24,72,33,37,44,42,66,80,2,27,78
136,42,16,42,72,33,37,44,42,66,80,2,27,78
137,23,16,42,72,33,37,44,42,66,80,2,27,78
138,42,60,42,72,33,37,44,42,66,80,2,27,78
139,23,60,42,72,33,37,44,42,66,80,2,27,78
140,42,16,24,49,33,37,44,42,66,80,2,27,78
141,23,16,24,49,33,37,44,42,66,80,2,27,78
142,42,60,24,49,33,37,44,42,66,80,2,27,78
143,23,60,24,49,33,37,44,42,66,80,2,27,78
144,42,16,42,49,33,37,44,42,66,80,2,27,78
145,23,16,42,49,33,37,44,42,66,80,2,27,78
146,42,60,42,49,33,37,44,42,66,80,2,27,78
147,23,60,42,49,33,37,44,42,66,80,2,27,78
148,42,16,24,72,97,36,44,42,66,80,2,27,78
149,42,60,24,72,97,36,44,42,66,80,2,27,78
150,23,60,24,72,97,36,44,42,66,80,2,27,78
151,42,16,42,72,97,36,44,42,66,80,2,27,78
152,23,16,42,72,97,36,44,42,66,80,2,27,78
153,42,60,42,72,97,36,44,42,66,80,2,27,78
154,23,60,42,72,97,36,44,42,66,80,2,27,78
155,42,16,24,49,97,36,44,42,66,80,2,27,78
156,23,16,24,49,97,36,44,42,66,80,2,27,78
157,42,60,24,49,97,36,44,42,66,80,2,27,78
158,23,60,24,49,97,36,44,42,66,80,2,27,78
159,42,16,42,49,97,36,44,42,66,80,2,27,78
160,23,16,42,49,97,36,44,42,66,80,2,27,78
161,42,60,42,49,97,36,44,42,66,80,2,27,78
162,23,60,42,49,97,36,44,42,66,80,2,27,78
163,42,16,24,72,33,36,44,42,66,80,2,27,78
164,23,16,24,72,33,36,44,42,66,80,2,27,78
165,42,60,24,72,33,36,44,42,66,80,2,27,78
166,23,60,24,72,33,36,44,42,66,80,2,27,78
167,42,16,42,72,33,36,44,42,66,80,2,27,78
168,23,16,42,72,33,36,44,42,66,80,2,27,78
169,42,60,42,72,33,36,44,42,66,80,2,27,78
170,23,60,42,72,33,36,44,42,66,80,2,27,78
171,42,16,24,49,33,36,44,42,66,80,2,27,78
172,23,16,24,49,33,36,44,42,66,80,2,27,78
173,42,60,24,49,33,36,44,42,66,80,2,27,78
174,23,60,24,49,33,36,44,42,66,80,2,27,78
175,42,16,42,49,33,36,44,42,66,80,2,27,78
176,23,16,42,49,33,36,44,42,66,80,2,27,78
177,42,60,42,49,33,36,44,42,66,80,2,27,78
178,23,60,42,49,33,36,44,42,66,80,2,27,78
179,42,16,24,72,97,37,30,42,66,80,2,27,78
180,23,16,24,72,97,37,30,42,66,80,2,27,78
181,42,60,24,72,97,37,30,42,66,80,2,27,78
182,23,60,24,72,97,37,30,42,66,80,2,27,78
183,42,16,42,72,97,37,30,42,66,80,2,27,78
184,23,16,42,72,97,37,30,42,66,80,2,27,78
185,42,60,42,72,97,37,30,42,66,80,2,27,78
186,23,60,42,72,97,37,30,42,66,80,2,27,78
187,42,16,24,49,97,37,30,42,66,80,2,27,78
188,23,16,24,49,97,37,30,42,66,80,2,27,78
189,42,60,24,49,97,37,30,42,66,80,2,27,78
190,23,60,24,49,97,37,30,42,66,80,2,27,78
