,0,1,2,3,4,5,6,7,8,9,10,11,12,y_score_0.61,y_score_0.58,y_score_0.55,gbr,svr,rf,cnn,lstm
106,0,1,1,0,1,1,1,0,0,0,0,0,0,-0.0369916,0.0198538,-0.0339793,0.581741,0.513158,0.548897,0.571818,0.56417
107,1,1,1,0,1,1,1,0,0,0,0,0,0,-0.0421789,0.013236,-0.0473051,0.572244,0.513365,0.548897,0.571818,0.554536
108,0,0,0,1,1,1,1,0,0,0,0,0,0,-0.0514595,0.0157315,-0.0479159,0.515193,0.511069,0.475463,0.563842,0.546716
109,1,0,0,1,1,1,1,0,0,0,0,0,0,-0.0581752,0.00701497,-0.059848,0.505696,0.511738,0.475463,0.547505,0.534162
110,0,1,0,1,1,1,1,0,0,0,0,0,0,-0.0337678,0.0230337,-0.0306148,0.600931,0.514459,0.573625,0.591876,0.554261
111,1,1,0,1,1,1,1,0,0,0,0,0,0,-0.039095,0.0155299,-0.0442956,0.591434,0.514267,0.573625,0.582983,0.544577
112,0,0,1,1,1,1,1,0,0,0,0,0,0,-0.0517149,0.015301,-0.0447561,0.515193,0.513266,0.475463,0.540679,0.563574
113,1,0,1,1,1,1,1,0,0,0,0,0,0,-0.0580943,0.00770379,-0.0569011,0.505696,0.513433,0.475463,0.529319,0.555827
114,0,1,1,1,1,1,1,0,0,0,0,0,0,-0.0351831,0.0208927,-0.0293699,0.581741,0.514306,0.548897,0.545545,0.572065
115,1,1,1,1,1,1,1,0,0,0,0,0,0,-0.0403704,0.0143131,-0.0426959,0.572244,0.514423,0.548897,0.545545,0.563674
116,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0511499,0.0168877,-0.0500342,0.533094,0.517796,0.504112,0.525733,0.587642
117,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.0578653,0.00811957,-0.0619661,0.523597,0.489162,0.504112,0.514977,0.579782
118,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.033929,0.0239101,-0.0330339,0.610187,0.550741,0.614782,0.553629,0.588951
119,1,1,0,0,0,0,0,1,0,0,0,0,0,-0.0392561,0.0163592,-0.0467147,0.60069,0.520803,0.614782,0.54282,0.584581
120,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.0513113,0.0167457,-0.0453085,0.533094,0.512942,0.504112,0.517785,0.583045
121,1,0,1,0,0,0,0,1,0,0,0,0,0,-0.0576905,0.00907475,-0.0574534,0.523597,0.499249,0.504112,0.511427,0.589656
